latitude;longitude
42.14724861;-80.01202394
42.14725678;-80.01199929
42.14726473;-80.01197451
42.14727257;-80.01194967
42.14728061;-80.01192488
42.14728879;-80.01190029
42.14729715;-80.01187589
42.14730543;-80.01185142
42.14731347;-80.01182679
42.14732148;-80.01180215
42.14732968;-80.01177761
42.14733804;-80.01175319
42.14734632;-80.01172875
42.1473543;-80.01170406
42.14736216;-80.01167931
42.14737004;-80.01165461
42.1473782;-80.0116301
42.14738635;-80.01160557
42.14739435;-80.01158087
42.14740235;-80.01155608
42.14741054;-80.01153131
42.14741885;-80.01150664
42.14742693;-80.01148181
42.14743477;-80.01145688
42.14744254;-80.01143185
42.1474503;-80.01140682
42.14745807;-80.0113818
42.14746576;-80.01135674
42.14747292;-80.01133129
42.14747984;-80.01130567
42.14748705;-80.01128016
42.14749416;-80.01125451
42.14750102;-80.01122874
42.14750786;-80.01120305
42.14751438;-80.01117714
42.14752054;-80.01115101
42.14752683;-80.01112498
42.14753352;-80.01109919
42.14754017;-80.01107339
42.14754675;-80.01104755
42.14755338;-80.01102174
42.14756004;-80.01099584
42.14756675;-80.01096998
42.14757359;-80.01094416
42.1475805;-80.01091836
42.14758737;-80.01089257
42.14759426;-80.01086676
42.14760122;-80.01084109
42.14760832;-80.01081564
42.14761534;-80.01079021
42.14762232;-80.01076479
42.1476293;-80.01073936
42.14763628;-80.01071383
42.14764338;-80.01068835
42.14765064;-80.010663
42.14765785;-80.01063766
42.14766485;-80.01061212
42.14767187;-80.01058659
42.14767911;-80.0105611
42.14768643;-80.01053563
42.14769359;-80.01051008
42.14770056;-80.01048439
42.14770748;-80.0104587
42.14771466;-80.01043324
42.14772211;-80.01040794
42.1477293;-80.01038258
42.14773616;-80.0103571
42.14774266;-80.01033147
42.14774924;-80.01030595
42.14775645;-80.01028087
42.147764;-80.01025605
42.14777144;-80.01023121
42.14777852;-80.01020612
42.14778553;-80.0101809
42.14779257;-80.01015562
42.1478;-80.01013057
42.1478076;-80.01010555
42.14781498;-80.01008044
42.14782215;-80.01005518
42.14782928;-80.01002988
42.1478366;-80.01000471
42.14784405;-80.00997958
42.14785114;-80.00995427
42.14785799;-80.00992882
42.14786484;-80.00990339
42.14787166;-80.00987798
42.14787852;-80.00985253
42.14788543;-80.00982718
42.14789221;-80.00980164
42.14789879;-80.00977601
42.14790551;-80.00975038
42.14791229;-80.00972486
42.14791907;-80.00969926
42.1479257;-80.00967356
42.14793224;-80.0096478
42.14793887;-80.00962207
42.14794549;-80.00959636
42.14795205;-80.00957056
42.1479587;-80.00954484
42.1479655;-80.00951921
42.14797221;-80.00949354
42.14797896;-80.00946789
42.14798589;-80.00944231
42.14799292;-80.0094168
42.1479998;-80.00939114
42.14800687;-80.00936566
42.14801407;-80.00934019
42.14802121;-80.00931476
42.1480284;-80.00928935
42.14803567;-80.00926408
42.14804276;-80.00923871
42.14804991;-80.00921342
42.14805724;-80.00918826
42.14806462;-80.0091631
42.1480718;-80.00913792
42.14807883;-80.00911258
42.14808598;-80.00908729
42.14809343;-80.00906212
42.14810097;-80.00903701
42.1481085;-80.00901187
42.14811607;-80.00898681
42.1481232;-80.00896155
42.14813034;-80.00893626
42.14813787;-80.00891125
42.14814562;-80.0088863
42.14815321;-80.0088612
42.14816073;-80.00883593
42.1481683;-80.00881064
42.14817597;-80.00878531
42.1481838;-80.00876012
42.14819176;-80.00873509
42.14819968;-80.00871006
42.14820735;-80.00868496
42.14821501;-80.00865975
42.14822286;-80.00863466
42.14823091;-80.00860964
42.14823884;-80.00858461
42.14824668;-80.00855956
42.14825458;-80.0085346
42.14826252;-80.00850977
42.1482704;-80.00848486
42.14827836;-80.00846004
42.14828649;-80.00843524
42.14829451;-80.00841032
42.14830258;-80.00838539
42.14831078;-80.00836058
42.14831893;-80.00833577
42.14832684;-80.00831089
42.14833474;-80.00828607
42.14834272;-80.00826129
42.1483508;-80.00823661
42.1483589;-80.00821186
42.14836728;-80.00818722
42.14837577;-80.00816256
42.14838384;-80.00813764
42.14839176;-80.00811258
42.14839998;-80.00808776
42.14840832;-80.00806306
42.14841676;-80.00803841
42.14842502;-80.0080137
42.148433;-80.00798877
42.14844063;-80.00796355
42.1484483;-80.00793826
42.14845632;-80.00791324
42.14846444;-80.00788827
42.14847265;-80.00786337
42.14848085;-80.00783855
42.14848919;-80.00781379
42.14849766;-80.00778906
42.14850593;-80.00776416
42.14851415;-80.00773925
42.14852251;-80.00771446
42.14853091;-80.0076897
42.1485393;-80.00766486
42.14854773;-80.00764008
42.14855603;-80.00761531
42.14856405;-80.00759042
42.1485723;-80.00756578
42.14858095;-80.0075414
42.14858956;-80.00751695
42.14859794;-80.00749232
42.14860629;-80.00746769
42.14861457;-80.00744298
42.14862286;-80.00741837
42.14863141;-80.00739398
42.14864009;-80.00736957
42.14864864;-80.00734513
42.14865692;-80.00732051
42.14866527;-80.0072959
42.14867393;-80.0072715
42.14868284;-80.00724719
42.14869161;-80.00722267
42.14870045;-80.00719819
42.14870932;-80.00717372
42.14871813;-80.00714911
