Lat [deg],Lon [deg],Alt Ellips [m]
42.16300635,-79.96595015,190.1112
42.1630015,-79.9659633,190.1235
42.16299664,-79.96597648,190.1294
42.16299173,-79.96598969,190.13
42.16298679,-79.96600293,190.1362
42.16298185,-79.96601622,190.1368
42.1629769,-79.96602955,190.1423
42.16297193,-79.96604295,190.1501
42.162967,-79.96605633,190.152
42.16296206,-79.96606978,190.1518
42.16295713,-79.96608325,190.1586
42.16295215,-79.96609675,190.1701
42.16294717,-79.96611028,190.182
42.16294217,-79.96612389,190.1924
42.16293717,-79.96613753,190.1975
42.16293217,-79.9661512,190.2097
42.16292716,-79.96616489,190.2219
42.1629221,-79.96617864,190.2333
42.16291705,-79.96619241,190.2384
42.16291197,-79.96620619,190.2481
42.16290689,-79.96622002,190.2554
42.16290178,-79.96623394,190.2599
42.16289669,-79.96624789,190.2593
42.16289158,-79.96626182,190.2586
42.16288647,-79.96627588,190.2651
42.16288135,-79.96628991,190.2668
42.1628762,-79.96630398,190.2743
42.16287105,-79.96631809,190.2726
42.16286586,-79.96633221,190.2687
42.16286068,-79.9663464,190.2642
42.1628555,-79.96636061,190.2661
42.16285031,-79.96637485,190.2669
42.1628451,-79.96638915,190.2678
42.16283989,-79.9664035,190.2664
42.16283465,-79.96641788,190.2629
42.16282941,-79.96643227,190.2594
42.16282417,-79.96644669,190.2655
42.16281893,-79.96646115,190.2653
42.16281363,-79.96647561,190.2622
42.16280832,-79.96649012,190.2605
42.162803,-79.96650464,190.2593
42.16279765,-79.96651918,190.2708
42.16279231,-79.96653377,190.2679
42.16278696,-79.96654837,190.2616
42.16278157,-79.96656297,190.2675
42.16277624,-79.96657766,190.2581
42.16277088,-79.96659239,190.2528
42.1627655,-79.96660714,190.255
42.16276011,-79.96662194,190.2483
42.16275471,-79.96663676,190.238
42.16274933,-79.96665159,190.2396
42.16274394,-79.96666649,190.2385
42.16273852,-79.96668142,190.2404
42.16273308,-79.9666964,190.2409
42.16272764,-79.96671137,190.2395
42.16272216,-79.96672638,190.2425
42.16271665,-79.96674143,190.2407
42.16271112,-79.96675651,190.2452
42.16270558,-79.96677167,190.244
42.1627,-79.96678686,190.2469
42.16269447,-79.96680206,190.2584
42.16268894,-79.96681735,190.2717
42.16268337,-79.96683265,190.2732
42.1626778,-79.96684797,190.2798
42.16267217,-79.96686333,190.2748
42.16266651,-79.96687867,190.2688
42.16266089,-79.96689414,190.2734
42.16265525,-79.96690962,190.2802
42.16264963,-79.96692514,190.2882
42.16264401,-79.96694065,190.2853
42.16263838,-79.96695622,190.2815
42.16263269,-79.96697176,190.2902
42.16262699,-79.96698739,190.2788
42.16262122,-79.96700303,190.286
42.16261543,-79.96701868,190.2863
42.16260968,-79.96703437,190.2867
42.16260389,-79.9670501,190.2903
42.16259812,-79.96706589,190.2947
42.16259234,-79.96708174,190.2973
42.16258653,-79.96709759,190.2943
42.16258072,-79.96711347,190.2878
42.16257486,-79.96712933,190.2848
42.16256897,-79.96714524,190.2882
42.16256308,-79.96716119,190.2932
42.16255716,-79.9671772,190.297
42.16255128,-79.9671932,190.2995
42.16254539,-79.96720926,190.3043
42.16253947,-79.96722532,190.3077
42.16253355,-79.96724141,190.3035
42.16252759,-79.96725754,190.3082
42.16252159,-79.9672737,190.3174
42.16251563,-79.96728988,190.3251
42.16250966,-79.96730609,190.3295
42.16250369,-79.96732231,190.3373
42.16249773,-79.96733856,190.3391
42.16249176,-79.96735486,190.3379
42.16248578,-79.96737117,190.3447
42.16247974,-79.9673875,190.3431
42.16247372,-79.96740385,190.3489
42.1624677,-79.96742024,190.3549
42.16246166,-79.96743664,190.3628
42.16245563,-79.96745304,190.3642
42.16244954,-79.96746944,190.378
42.16244355,-79.96748595,190.3622
42.16243745,-79.96750242,190.3689
42.16243135,-79.96751889,190.3765
42.16242524,-79.96753542,190.386
42.16241913,-79.96755198,190.3968
42.162413,-79.96756847,190.4037
42.1624069,-79.96758507,190.4145
42.1624008,-79.96760163,190.4228
42.16239468,-79.96761822,190.429
42.16238856,-79.96763478,190.4287
42.16238244,-79.96765135,190.4207
42.16237627,-79.96766796,190.4242
42.16237015,-79.9676846,190.4231
42.16236403,-79.96770125,190.424
42.16235791,-79.96771792,190.428
42.16235178,-79.96773461,190.4231
42.16234565,-79.96775129,190.4215
42.16233949,-79.96776798,190.4201
42.16233335,-79.96778471,190.4183
42.16232719,-79.96780143,190.4216
42.16232104,-79.96781818,190.4294
42.16231487,-79.96783493,190.4288
42.16230868,-79.96785171,190.4326
42.16230251,-79.96786849,190.432
42.16229634,-79.9678853,190.4361
42.16229014,-79.96790213,190.4356
42.16228397,-79.96791897,190.4387
42.16227781,-79.96793586,190.4382
42.16227164,-79.96795271,190.4343
42.16226539,-79.96796956,190.4436
42.16225923,-79.96798651,190.4372
42.162253,-79.96800338,190.444
42.16224677,-79.9680203,190.4406
42.16224053,-79.96803726,190.4427
42.1622343,-79.96805425,190.4474
42.16222808,-79.96807125,190.4448
42.16222186,-79.96808827,190.4372
42.16221563,-79.96810531,190.4421
42.16220942,-79.96812236,190.4396
42.16220321,-79.96813939,190.4371
42.16219697,-79.96815646,190.4378
42.16219073,-79.96817354,190.4414
42.16218452,-79.96819064,190.4473
42.16217824,-79.96820775,190.443
42.16217201,-79.96822488,190.4413
42.16216575,-79.96824203,190.4422
42.16215948,-79.96825922,190.4376
42.16215322,-79.96827633,190.4261
42.16214694,-79.96829357,190.4293
42.16214068,-79.96831074,190.431
42.16213437,-79.968328,190.4438
42.16212805,-79.96834519,190.4478
42.16212175,-79.96836245,190.4545
42.1621154,-79.9683797,190.4497
42.16210905,-79.96839694,190.4545
42.16210272,-79.96841421,190.4591
42.1620964,-79.96843151,190.4557
42.16209011,-79.96844882,190.4661
42.16208376,-79.96846613,190.4725
42.16207736,-79.96848346,190.4805
42.16207103,-79.96850084,190.4834
42.16206459,-79.9685182,190.4847
42.16205818,-79.96853558,190.4844
42.16205177,-79.96855301,190.4914
42.16204533,-79.96857042,190.4927
42.1620389,-79.96858787,190.4913
42.16203246,-79.96860534,190.492
42.162026,-79.96862284,190.4988
42.16201956,-79.96864037,190.501
42.16201314,-79.9686579,190.5019
42.1620067,-79.96867543,190.4991
42.1620003,-79.96869299,190.5001
42.16199385,-79.96871056,190.4944
42.16198738,-79.96872812,190.4979
42.16198091,-79.96874575,190.5004
42.16197446,-79.96876329,190.4961
42.161968,-79.96878096,190.4989
42.16196151,-79.96879859,190.4943
42.16195501,-79.96881625,190.4889
42.16194853,-79.9688339,190.4828
42.16194204,-79.96885156,190.4822
42.16193553,-79.96886923,190.4823
